cyt oxidase subunit 3	COX3
CytOxII	COX2
cytrochrome b oxidase	CYTB
dh1	NAD1
dh2	NAD2
dh3	NAD3
dh4L	NAD4L
dh4	NAD4
dh5	NAD5
dh6	NAD6
DtCOI	COX1
F0-ATPase region 6	ATP6
F0-ATPase region 8	ATP8
F0-ATPase subunit 6	ATP6
F0-ATPase subunit6	ATP6
F0-ATPase subunit 8	ATP8
F0-ATPase subunit8	ATP8
F0-ATP synthase subunit 6	ATP6
F0-ATP synthase subunit6	ATP6
F0-ATP synthase subunit 8	ATP8
F0-ATP synthase subunit8	ATP8
F0/F1 ATP synthase subunit 6	ATP6
F0/F1 ATP synthase subunit 8	ATP8
F1 ATPase subunit 6	ATP6
F1-ATPase subunit 6	ATP6
F1 ATPase subunit 8	ATP8
F1-ATPase subunit 8	ATP8
F-ATPase subunit 6	ATP6
F-ATPase subunit 8	ATP8
Fcox1	COX1
Fo ATPase subunit 6	ATP6
FO-ATPase subunit 6	ATP6
FO-ATPase subunit 8	ATP8
FoF1 ATPase subunit6	ATP6
frameshift mechanism unknown (Mindell et al., 1998, Mol. Biol. Evol., 15:1568-1571	NAD3
genomic DNA	COX1
HcCOI	COX1
H(+)-transporting ATP synthase 6	ATP6
H(+)-transporting ATP synthase 8	ATP8
H(+)-transporting ATP synthase	ATP6
H(+)-transporting ATP synthase	ATP8
H+-transporting ATP synthase subunit 6	ATP6
H+-transporting ATP synthase subunit 8	ATP8
l6S ribosomal RNA	16S
large 16S ribosomal RNA	16S
large ribosomal RNA	16S
large ribosomal RNA subnuit	16S
large ribosomal RNA subunit	16S
large ribosomal RNA subunit RNA	16S
large rRNA	16S
large subunit	16S
large subunit 16S ribosomal RNA	16S
large subunit of 16S ribosomal RNA	16S
large subunit of ribosomal RNA	16S
large subunit ribosomal RNA	16S
large subunit ribosomal RNA gene	16S
large subunit ribosomal RNA (lrRNA)	16S
l-ribosomal RNA	16S
l-rRNA	16S
lrRNA	16S
LrRNA	16S
LSrRNA	16S
lsu	16S
LSU	16S
lsu ribosomal RNA	16S
lsu rRNA	16S
lsu-rRNA	16S
LSU rRNA	16S
mitochondiral cytochrome b	CYTB
mitochondrial 16S rRNA gene	16S
mitochondrial cytochrome b	CYTB
Mitochondrial cytochrome b	CYTB
mitochondrial cytochrome c oxidase subunit III	COX3
mitochondrial cytochrome oxidase subunit I	COX1
mitochondrial cytochrome oxidase subunit II	COX2
mitochondrial cytochromw b	CYTB
mitochondrial large ribosomal RNA subunit RNA	16S
mitochondrially encoded Cytochrome b	CYTB
mitochondrially encoded NADH dehydrogenase 2	NAD2
mitochondrial NADH dehydrogenase subunit 2	NAD2
